resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4651247;0.4107936;0.5209954;0.4864705;100;0
0.4656316;0.4108207;0.5209559;0.4864619;100;0
0.4662122;0.4109201;0.5209685;0.4864529;100;0
0.4668623;0.4110667;0.5210419;0.4864412;100;0
0.4675645;0.4112449;0.5211847;0.4864243;100;0
0.4682928;0.4114467;0.5214041;0.4863997;100;0
0.4690194;0.4116691;0.5217068;0.4863635;100;0
0.4697206;0.4119121;0.522097;0.4863119;100;0
0.470381;0.4121796;0.5225749;0.4862393;100;0
0.4709948;0.4124783;0.5231344;0.4861383;100;0
0.4715632;0.4128191;0.5237625;0.4860003;100;0
0.4720921;0.4132158;0.5244399;0.4858143;100;0
0.4725903;0.4136845;0.5251438;0.4855677;100;0
0.4730661;0.4142437;0.5258512;0.4852477;100;0
0.4735274;0.4149086;0.526544;0.4848439;100;0
0.4739799;0.4156873;0.5272102;0.4843519;100;0
0.4744278;0.4165737;0.5278447;0.4837767;100;0
0.4748731;0.4175455;0.528448;0.4831359;100;0
0.4753169;0.4185646;0.5290238;0.4824584;100;0
0.4757593;0.4195869;0.5295769;0.481779;100;0
0.4761997;0.4205716;0.5301114;0.4811316;100;0
0.4766362;0.4214905;0.5306296;0.4805421;100;0
0.4770655;0.4223308;0.5311319;0.480026;100;0
0.477482;0.4230926;0.5316156;0.4795882;100;0
0.4778774;0.4237844;0.5320768;0.4792262;100;0
0.4782409;0.4244182;0.5325093;0.4789321;100;0
0.4785602;0.4250068;0.5329063;0.4786967;100;0
0.4788238;0.425562;0.5332609;0.4785102;100;0
0.4790224;0.4260934;0.5335659;0.4783636;100;0
0.4791509;0.4266087;0.5338149;0.4782497;100;0
0.479209;0.4271138;0.5340011;0.4781619;0;0
0.4993653;0.4419219;0.5494015;0.519098;50;0
0.4993653;0.4419219;0.5494015;0.519098;50;0
0.4995805;0.4422956;0.5494602;0.5184017;50;0
0.4997931;0.4426794;0.549512;0.5177686;50;0
0.5000029;0.4430712;0.5495566;0.5172039;50;0
0.5002096;0.4434685;0.549594;0.5167092;50;0
0.5004128;0.4438687;0.549624;0.5162834;50;0
0.5006124;0.4442693;0.5496462;0.5159228;50;0
0.5008084;0.4446681;0.5496609;0.515623;50;0
0.5010002;0.4450633;0.5496676;0.5153781;50;0
0.5011879;0.445453;0.5496666;0.5151827;50;0
0.5013712;0.4458359;0.5496574;0.5150318;50;0
0.5015501;0.4462101;0.5496404;0.5149203;50;0
0.5017243;0.4465744;0.5496155;0.5148438;50;0
0.5018938;0.4469272;0.549583;0.5147989;50;0
0.5020585;0.447267;0.5495433;0.5147825;50;0
0.5022181;0.4475925;0.5494969;0.5147921;50;0
0.5023727;0.4479021;0.5494443;0.5148256;50;0
0.502522;0.448195;0.5493864;0.5148818;50;0
0.5026661;0.4484702;0.5493243;0.5149595;50;0
0.5028049;0.4487271;0.5492588;0.5150582;50;0
0.5029382;0.4489653;0.5491912;0.5151778;50;0
0.5030661;0.449185;0.5491227;0.5153185;50;0
0.5031885;0.4493861;0.5490545;0.5154809;50;0
0.5033054;0.4495693;0.5489877;0.5156662;50;0
0.503417;0.449735;0.5489234;0.5158756;50;0
0.5035229;0.4498842;0.5488629;0.5161117;50;0
0.5036237;0.4500182;0.5488068;0.5163767;50;0
0.5037192;0.4501381;0.5487557;0.5166737;50;0
0.5038094;0.4502461;0.54871;0.5170066;50;0
0.5038944;0.4503447;0.5486701;0.5173792;50;0
0.5039745;0.4504373;0.548636;0.5177965;50;0
0.5040498;0.4505283;0.5486077;0.5182632;50;0
0.5041202;0.4506239;0.5485852;0.5187842;50;0
0.5041861;0.4507307;0.5485684;0.5193635;50;0
0.5042474;0.4508547;0.5485572;0.5200041;50;0
0.5043043;0.4509999;0.5485516;0.5207059;50;0
0.5043572;0.4511655;0.5485517;0.5214665;50;0
0.5044057;0.4513449;0.5485574;0.5222786;50;0
0.5044506;0.4515271;0.5485687;0.5231314;50;0
0.5044916;0.4516996;0.5485854;0.5240101;50;0
0.5045291;0.4518515;0.5486071;0.5248971;50;0
0.5045633;0.4519757;0.5486333;0.5257748;50;0
0.5045941;0.4520689;0.5486636;0.526626;50;0
0.5046219;0.4521311;0.548697;0.5274366;50;0
0.5046468;0.4521648;0.5487327;0.5281956;50;0
0.504669;0.4521731;0.5487701;0.5288967;50;0
0.5046884;0.4521595;0.5488082;0.529537;50;0
0.5047053;0.4521277;0.5488459;0.5301166;50;0
0.50472;0.4520805;0.5488829;0.5306382;50;0
0.5047322;0.4520205;0.5489184;0.5311061;50;0
0.5047423;0.4519498;0.5489517;0.531525;50;0
0.5047502;0.4518696;0.5489827;0.5319002;50;0
0.504756;0.4517816;0.5490108;0.5322371;50;0
