resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.4509248;0.6697873;0.7258448;0.4380915;15;22
0.4526549;0.6696517;0.7260649;0.4383008;15;22
0.4542595;0.6695188;0.7262451;0.438518;15;22
0.4557239;0.6693901;0.7263906;0.4387409;15;22
0.4570424;0.6692666;0.7265067;0.4389673;15;22
0.4582173;0.6691491;0.726598;0.4391949;15;22
0.4592558;0.6690379;0.726669;0.4394219;15;22
0.4601684;0.6689332;0.726723;0.4396464;15;22
0.4609671;0.6688353;0.7267629;0.4398666;15;22
0.4616646;0.6687441;0.7267911;0.4400815;5;22
0.6732742;0.5606983;0.6494795;0.4637582;15;22
0.6732202;0.5606815;0.6494806;0.4638681;15;22
0.6733795;0.5611872;0.6490576;0.463477;15;22
0.6734501;0.5603622;0.6486715;0.4633405;15;22
0.6735674;0.5605649;0.6483136;0.4630584;15;22
0.6736653;0.5601102;0.6479769;0.4629184;15;22
0.6737977;0.5600251;0.6476559;0.4627128;15;22
0.6739492;0.5599716;0.6473461;0.4625173;15;22
0.674122;0.5599509;0.6470441;0.4623358;15;22
0.6743182;0.5599626;0.6467473;0.4621719;15;22
0.6745394;0.5600048;0.6464539;0.4620284;15;22
0.6747872;0.5600744;0.6461626;0.4619076;15;22
0.675063;0.5601673;0.6458727;0.4618109;15;22
0.6753675;0.5602789;0.6455835;0.461739;15;22
0.6757014;0.5604039;0.6452951;0.4616917;15;22
0.6760647;0.5605375;0.6450075;0.461668;15;22
0.6764567;0.5606746;0.6447214;0.4616661;15;22
0.6768762;0.560811;0.6444373;0.4616841;15;22
0.6773213;0.5609431;0.6441563;0.4617191;15;22
0.6777891;0.5610678;0.6438793;0.4617683;15;22
0.678276;0.5611829;0.6436078;0.4618285;15;22
0.6787778;0.561287;0.6433429;0.4618968;14;22
0.6131742;0.565697;0.643076;0.4798619;15;22
0.6136901;0.565777;0.6428288;0.4799363;15;22
0.6142044;0.5658451;0.6425924;0.4798781;15;22
0.614711;0.5659018;0.6423685;0.4798079;15;22
0.6152042;0.5659475;0.6421582;0.4797234;15;22
0.6156783;0.5659832;0.6419626;0.4796225;15;22
0.6161282;0.5660099;0.6417826;0.479504;15;22
0.6165496;0.5660282;0.6416191;0.4793663;15;22
0.616939;0.5660389;0.6414726;0.4792083;14;22
0.5632097;0.5659508;0.6327974;0.5449294;15;22
0.5635376;0.5659483;0.6326742;0.5447298;15;22
0.5638295;0.56594;0.6325681;0.5445074;15;22
0.5640849;0.5659264;0.6324791;0.5442616;15;22
0.5643044;0.5659078;0.6324071;0.5439913;15;22
0.5644889;0.5658844;0.6323519;0.543696;15;22
