resultsTargetWeights;resultsAlignWeights;resultsCohesionWeights;resultsSeparateWeights;resultsNumPreys;resultsNumPredators
0.3546147;0.6143124;0.5361995;0.5558278;25;0
0.3544366;0.6143262;0.5360556;0.5557578;25;0
0.3542678;0.614364;0.5358714;0.5556687;25;0
0.3541056;0.6144217;0.5356524;0.555558;25;0
0.353947;0.6144949;0.5354035;0.555423;25;0
0.3537886;0.6145797;0.5351298;0.5552614;25;0
0.3536271;0.6146707;0.5348361;0.5550711;25;0
0.3534585;0.6147625;0.5345274;0.5548506;25;0
0.3532788;0.6148484;0.5342083;0.5545994;25;0
0.353084;0.6149198;0.5338834;0.5543188;25;0
0.35287;0.6149668;0.5335572;0.5540115;25;0
0.3526333;0.6149771;0.5332341;0.5536824;25;0
0.3523712;0.6149365;0.5329176;0.5533388;25;0
0.3520826;0.6148297;0.5326117;0.5529905;25;0
0.3517679;0.6146414;0.5323194;0.552649;25;0
0.3514297;0.6143584;0.5320434;0.5523275;25;0
0.3510729;0.613973;0.5317861;0.5520391;25;0
0.3507044;0.6134859;0.5315496;0.5517973;25;0
0.3503322;0.6129072;0.531335;0.5516137;25;0
0.3499646;0.6122577;0.5311435;0.5514985;25;0
0.3496095;0.6115656;0.5309755;0.5514591;25;0
0.3492729;0.6108628;0.5308314;0.551501;25;0
0.3489591;0.6101804;0.5307109;0.5516272;25;0
0.3486696;0.6095451;0.5306137;0.5518389;25;0
0.3484042;0.6089759;0.5305389;0.5521359;25;0
0.3481601;0.6084851;0.5304856;0.5525172;25;0
0.3479336;0.6080773;0.5304528;0.5529817;25;0
0.3477196;0.6077522;0.5304389;0.5535275;25;0
0.3475129;0.6075053;0.5304427;0.5541536;25;0
0.347308;0.6073295;0.5304624;0.5548595;25;0
0.3470991;0.6072173;0.5304965;0.5556455;25;0
0.3468807;0.6071603;0.5305433;0.5565124;25;0
0.3466473;0.6071515;0.5306008;0.557462;25;0
0.3463924;0.6071838;0.5306675;0.558497;23;0
0.3589613;0.5672519;0.5311248;0.519615;2;0
0.6186489;0.5173931;0.3363933;0.5873843;25;0
0.6186442;0.5173931;0.3364142;0.5873839;25;0
0.6187406;0.5173125;0.3363019;0.5872064;25;0
0.6188439;0.51727;0.3361837;0.5870297;25;0
0.6189541;0.5172673;0.3360593;0.5868507;25;0
0.6190716;0.5173054;0.3359282;0.5866662;25;0
0.6191967;0.5173836;0.3357899;0.5864715;25;0
0.6193297;0.5175;0.3356442;0.5862609;25;0
0.6194714;0.5176513;0.3354904;0.5860273;25;0
0.6196218;0.5178329;0.3353283;0.5857619;25;0
0.6197817;0.5180389;0.3351574;0.5854537;25;0
0.6199514;0.5182633;0.3349773;0.5850894;25;0
0.6201314;0.5184994;0.3347875;0.5846536;25;0
0.6203222;0.5187409;0.3345879;0.584128;25;0
0.6205246;0.5189823;0.3343779;0.5834923;25;0
0.620739;0.5192185;0.3341574;0.5827246;25;0
0.620966;0.5194458;0.3339258;0.581803;25;0
0.6212063;0.5196612;0.3336833;0.5807081;26;0
0.6359599;0.5383241;0.3218063;0.5641377;26;0
0.6362181;0.5385036;0.321553;0.5627248;26;0
0.6364908;0.538668;0.3212889;0.5611389;26;0
0.6367783;0.538817;0.3210145;0.559404;26;0
0.6370815;0.5389506;0.3207301;0.557558;26;0
0.6374007;0.5390686;0.3204365;0.5556469;26;0
0.6377363;0.5391712;0.3201345;0.5537186;26;0
0.6380889;0.5392579;0.3198255;0.551817;26;0
0.6384587;0.5393286;0.319511;0.5499788;26;0
0.638846;0.5393834;0.3191932;0.5482345;26;0
0.6392509;0.5394224;0.3188753;0.5466114;26;0
0.6396735;0.5394458;0.3185613;0.5451357;26;0
0.6401138;0.5394541;0.3182572;0.5438315;26;0
0.6405717;0.5394481;0.317971;0.5427177;26;0
0.6410468;0.5394287;0.3177147;0.5418022;26;0
0.6415386;0.5393968;0.3175049;0.5410787;26;0
0.6420466;0.5393538;0.3173646;0.5405266;26;0
0.6425701;0.5393006;0.317323;0.5401166;26;0
0.6431082;0.539238;0.3174141;0.5398166;26;0
0.6436599;0.5391675;0.3176717;0.5395967;26;0
0.6442242;0.5390894;0.3181209;0.5394331;26;0
0.6447998;0.5390052;0.3187694;0.5393077;26;0
0.6453854;0.5389153;0.3196025;0.5392075;26;0
0.6459798;0.5388208;0.3205846;0.5391243;26;0
0.6465817;0.538723;0.3216681;0.5390519;26;0
0.6471902;0.5386229;0.3228039;0.5389872;26;0
0.6478045;0.5385219;0.3239504;0.5389276;26;0
0.6484247;0.5384214;0.3250782;0.5388715;26;0
0.6490519;0.5383229;0.3261698;0.5388181;26;0
0.6496891;0.5382271;0.3272178;0.5387667;26;0
0.6503421;0.5381356;0.3282211;0.538717;26;0
0.6510211;0.5380489;0.3291822;0.5386687;26;0
0.6517429;0.5379676;0.3301055;0.5386212;26;0
0.6525323;0.5378917;0.3309955;0.5385748;26;0
0.6534245;0.5378214;0.3318563;0.538529;26;0
0.6544642;0.5377563;0.3326914;0.5384835;26;0
0.6557031;0.5376959;0.3335042;0.5384383;26;0
0.6571913;0.53764;0.3342977;0.5383934;26;0
0.6589652;0.5375881;0.3350741;0.538348;26;0
0.6610337;0.5375395;0.3358358;0.5383024;26;0
0.6633691;0.5374939;0.3365845;0.5382563;26;0
0.6659076;0.5374509;0.3373212;0.5382095;26;0
0.6685591;0.5374101;0.3380459;0.5381616;26;0
0.6712265;0.5373712;0.3387578;0.5381125;26;0
0.6738217;0.5373341;0.3394553;0.5380619;26;0
0.6762772;0.5372984;0.3401357;0.5380096;26;0
0.6785495;0.5372639;0.3407961;0.5379552;26;0
0.6806172;0.5372305;0.3414332;0.5378985;26;0
0.6824758;0.537198;0.3420438;0.5378394;26;0
0.6841316;0.5371662;0.3426247;0.5377772;26;0
0.6855965;0.5371349;0.3431736;0.5377119;26;0
0.6868858;0.5371041;0.3436888;0.537643;26;0
0.6880144;0.5370736;0.3441689;0.5375701;26;0
0.6889963;0.5370432;0.3446139;0.5374931;26;0
0.6898445;0.5370125;0.3450242;0.5374113;26;0
0.6905706;0.5369813;0.3454008;0.5373247;26;0
0.6911852;0.5369493;0.3457454;0.5372328;26;0
0.6916991;0.5369159;0.3460601;0.5371351;26;0
0.6921238;0.5368807;0.3463472;0.5370316;26;0
0.6924708;0.536843;0.3466091;0.536922;26;0
0.6927522;0.5368026;0.3468481;0.5368059;26;0
0.6929813;0.5367594;0.3470666;0.5366834;26;0
0.6931695;0.5367132;0.3472663;0.5365545;26;0
0.6933284;0.5366649;0.3474489;0.536419;26;0
0.6934672;0.5366151;0.3476161;0.5362774;26;0
0.6935936;0.5365646;0.3477691;0.5361297;26;0
0.6937132;0.5365145;0.3479089;0.5359765;26;0
0.6938304;0.5364658;0.3480369;0.5358182;26;0
0.6939468;0.5364194;0.3481539;0.5356557;26;0
0.6940643;0.5363762;0.3482607;0.5354897;26;0
0.6941826;0.5363367;0.3483584;0.5353211;26;0
0.6943014;0.5363017;0.3484474;0.5351509;26;0
0.6944201;0.5362719;0.3485285;0.5349805;26;0
0.6945373;0.5362478;0.3486021;0.5348108;26;0
0.694652;0.5362305;0.3486688;0.5346432;26;0
0.6947631;0.5362207;0.3487285;0.5344788;26;0
0.6948692;0.5362199;0.3487815;0.5343189;26;0
0.6949692;0.5362297;0.3488279;0.5341646;26;0
0.6950625;0.536252;0.3488674;0.5340167;26;0
0.6951476;0.5362894;0.3489;0.533876;26;0
0.6952239;0.5363446;0.3489251;0.5337431;26;0
0.6952905;0.5364214;0.3489427;0.5336182;24;0
0.7322668;0.5579844;0.3618788;0.5148762;3;0
0.5434268;0.5895168;0.5419145;0.4676429;25;0
0.5434625;0.5895168;0.5419229;0.4676573;25;0
0.543968;0.5895405;0.541986;0.4673767;25;0
0.5445145;0.5895638;0.542046;0.4671001;25;0
0.5451036;0.5895867;0.5421026;0.4668268;25;0
0.5457373;0.5896093;0.5421565;0.466556;25;0
0.546416;0.5896316;0.5422079;0.4662873;25;0
0.5471399;0.5896538;0.5422567;0.4660196;25;0
0.5479088;0.5896757;0.5423036;0.4657525;25;0
0.5487211;0.5896976;0.5423483;0.4654852;25;0
0.5495744;0.5897198;0.5423913;0.4652168;25;0
